title,price,rating,reviews,availability
"BlueFire Professional 3.5mm PS4 Gaming Headset Headphone with Mic and LED Lights for Playstation 4, PS5, Xbox one,Laptop, Computer (Blue)",,4.4 out of 5 stars,"8,408 ratings",Not Available
"PS4 Fan Cooling Fan with Controller Charger Compatible with Playstation 4/PS4 Slim/PS4 Pro, PS4 Stand Vertical Cooling Station for PS4 Accessories,PS4 Pro Cooling Fan with Dual Charger & 12 Game Slots",,4.3 out of 5 stars,"1,298 ratings",Not Available
Sony Playstation PS4 1TB Black Console,,4.7 out of 5 stars,"1,008 ratings",Not Available
Ps4 Pro Stickers Full Body Vinyl Skin Decal Cover for Playstation 4 Console Controllers (with 4pcs Led Lightbar Stickers)(PS4 Pro Console (Pink Starry Sky)),,4.3 out of 5 stars,618 ratings,Not Available
"2 Pack Wireless Controller for PS4,YsoKK Wireless Remote Control Compatible with Playstation 4/Slim/Pro,with Double Shock/Audio/Six-axis Motion Sensor(Camouflage Blue+Camouflage Green)",,4.2 out of 5 stars,284 ratings,Not Available
"eXtremeRate Gray Horizontal Dust Cover for PS4 Slim Console, Soft Neat Lining Dust Guard for PS4 Slim Console, Anti Scratch Waterproof Cover Protector Sleeve for PS4 Slim Console",,4.5 out of 5 stars,"1,792 ratings",Not Available
【Upgraded】 Wireless PS4 Remote Controller Compatible with Playstation 4/Slim/Pro with Dual Vibration/6-Axis Motion Sensor/Audio Replacement for PS4 Controller,,4.5 out of 5 stars,331 ratings,Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.5 out of 5 stars,"4,200 ratings",Only 6 left in stock - order soon
RPlay Play-Station 4 PS4 1TB Slim Edition Jet Black With 1 Wireless Controller,,4.8 out of 5 stars,7 ratings,Not Available
PlayStation 4 500GB Console [Old Model][Discontinued],,4.6 out of 5 stars,"13,648 ratings",Only 2 left in stock - order soon
PlayStation 4 Slim 1TB Console,,4.7 out of 5 stars,"15,371 ratings",
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.5 out of 5 stars,307 ratings,Not Available
Guitar Hero Live - PlayStation 4,,4.2 out of 5 stars,635 ratings,
Sony PlayStation 4 Pro 1TB White (PS4),,4.4 out of 5 stars,936 ratings,Only 3 left in stock - order soon
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.7 out of 5 stars,"144,989 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Midnight Blue,,4.7 out of 5 stars,"144,989 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Magma Red,,4.7 out of 5 stars,"144,989 ratings",Not Available
Sony Playstation 4 Dual Shock 4 Controller,,4.6 out of 5 stars,"2,173 ratings",Not Available
